LNG,Data,Viti,Muaji,Instituti,GROUPNAME,PARASHIKIM,Kolona 1,Kolona 2,Kolona 3,Kolona 4,Kolona 5,Shuma
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Banderols,,,,"434,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Compensation of fines of insurance comapanies,,,,"20,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,"Costums tax on import, cigarettes etc",,,,"84,424,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Customs returns,,,,"-238,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Customs tax on import,,,,"121,211,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Excise returns,,,,"-131,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,External customs control,,,,"144,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,External exise on the border,,,,"200,131,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Fast-Customs,,,,"78,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Fine revenues,,,,"982,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Goods sale,,,,"540,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Other custom taxes,,,,"255,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Return of various customs taxes,,,,"-37,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Value added tax ( VAT) on the border,,,,"419,485,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,VAT Return,,,,"-706,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Grants and assistance,Grants for budgetary support,,,,"19,240,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Grants and assistance,Set donor grants,,,,"8,968,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Bank interest,,,,"1,631,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,AKP - the rent from inventory,,,"3,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposit - Pristina Municipality,,,"59,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposit - Skenderaj Municipality,,,"139,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits - Coupons students,,,"117,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits from seizures,,,"26,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits of DAGJ,,,"252,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits of prisoners,,,"31,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits-Procurement Review Body,,,"118,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Gambling deposits,,,"148,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Kosovo Property Agency,,,"54,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Special chamber deposits,,,"10,000.00€"
Eng,1/1/2011,2011,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Dividends,Airport dividend,,,"5,000,000.00€"
