LNG,Data,Viti,Muaji,Instituti,GROUPNAME,PARASHIKIM,Kolona 1,Kolona 2,Kolona 3,Kolona 4,Kolona 5,Shuma
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Grants and assistance,Set donor grants,,,,"12,588,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Loaning,Admission of the issue of securities,,,,"79,200,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Loaning,Loaning from IFN,Admissions - Loan agreements,,,"3,713,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Loaning,Loaning from IFN,Admissions - sub loans,,,"135,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Loaning,Loaning from IFN,External debt - direct payments,,,"755,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Loaning,Loaning from IFN,Sub loans - direct payments,,,"32,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits - Coupons students,,,"4,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits for expropriation-Municipalities,,,"2,283,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits from seizures,,,"31,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits of DAGJ,,,"180,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits of political parties,,,"19,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Gambling deposits,,,"1,079,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Kosovo Property Agency,,,"49,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Minorities salaries in Trust,,,"215,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Special chamber deposits,,,"1,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Dividends,KOST dividends,,,"3,000,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Dividends,PTK dividends,,,"40,000,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Acreditation tariff,,,"13,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Vehicle registration taxes,,"13,095,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Road taxes,,"12,397,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Taxes on travel documents,,"5,815,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,ID taxes,,"764,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Driving licence taxes,,"2,164,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Municipal taxes for construction of buildings,,"11,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Verification of various documents,,"734,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Participation on tenders,,"6,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Citizenship taxes,,"697,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Taxes on fire protection,,"30,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Taxes on birth certificates,,"14,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Certificate on coronation,,"3,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Taxes on death certificates,,"1,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Other administrative taxes,,"391,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Taxes on weapons,,"62,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Taxes on civil usage of explosives,,"10,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Ecological tax,,"3,136,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Visa Tax,,"13,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Asset revenue,,,"46,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Fine- sentence ravenvues,,,"304,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Licence revenues,,,"1,746,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Other admissions,,,"43,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Revenues from licences of oil department,,,"356,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Service/asset revenues,,,"1,024,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Licenses for stonecrusher and mines,,,,"24,693,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Other,Previous year Revenues,,,"203,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Other,Return of advace from last year,,,"2,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,PE lending returns,,,,"6,000,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Revenues from privatization,,,,"26,300,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Revenues of concession,,,,"2,000,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Administrative tax revenues,,,"3,334,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Asset revenue,,,"115,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Fine- sentence ravenvues,,,"2,932,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,"Ministry of Agriculture, Forestry, and Rural Development",,"1,020,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,Ministry of Trade and Industry,,0.00€
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,Ministry of Health,,"1,873,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,Ministry of Justice,,"24,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,"Ministry of Education, Science, and Technology",,"182,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,Telecommunications Regulatory Authority,,"5,365,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,Energy Regulatory Office,,"683,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,Civil Aviation Authority,,"22,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,Independent Commission for Mines and Minerals,,0.00€
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence revenues,Independent Media Commission,,"313,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Participation Revenues,Ministry of Health,,"1,752,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Participation Revenues,"Ministry of Culture, Youth, and Sports",,"21,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Participation Revenues,"Ministry of Education, Science, and Technology",,"3,512,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Participation Revenues,Ministry of Justice,,"17,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Participation Revenues,University of Prishtina,,"9,721,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Revenues from inspections,,,"6,478,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Service/asset revenues,,,"1,738,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Municipalities,,,,"55,850,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,"Interes tax, divident, rent, gambling",,,,"1,634,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Licence on games,,,,"355,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Non specified taxes,,,,"44,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Personal income tax,,,,"61,336,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Presumptive tax,,,,"70,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Profit tax,,,,"162,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Profit tax,,,,"-2,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Returns of personal income tax,,,,"-127,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Returns the value added tax,,,,"-34,018,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Revenues on waste sale,,,,"10,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,TAX fine revenues,,,,"2,672,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Tax on corporate income,,,,"63,463,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Tax on individual business,,,,"28,024,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Tax returns for businesses,,,,"-181,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Tax returns for corporations,,,,"-357,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Value added tax,,,,"147,249,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,VAT deferred,,,,"430,000.00€"
