LNG,Data,Viti,Muaji,Instituti,GROUPNAME,PARASHIKIM,Kolona 1,Kolona 2,Kolona 3,Kolona 4,Kolona 5,Shuma
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Banderols,,,,"388,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Compensation of fines of insurance comapanies,,,,"8,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,"Costums tax on import, cigarettes etc",,,,0.00€
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Customs returns,,,,"-614,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Customs tax on import,,,,"120,128,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Excise returns,,,,"-240,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,External customs control,,,,"1,227,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,External exise on the border,,,,"286,992,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Fast-Customs,,,,"48,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Goods sale,,,,"402,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Internal excise,,,,"14,057,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Other custom taxes,,,,"1,258,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Return of various customs taxes,,,,"-1,044,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Sentence revenvues,,,,"481,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Value added tax ( VAT) on the border,,,,"412,280,000.00€"
Eng,1/1/2013,2013,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,VAT Return,,,,"-1,291,000.00€"
